matcher,tier,accuracy_no,mean_conf_no,ece_no,n_no,mode_no,accuracy_yes,mean_conf_yes,ece_yes,n_yes,mode_yes,acc_delta,ece_delta
rule,global,0.9806051202482544,1.0,0.019394879751745586,1289,no_emb,0.9798293250581847,1.0,0.020170674941815347,1289,with_emb,-0.0007757951900697613,0.0007757951900697613
rule,entity,1.0,1.0,0.0,489,no_emb,1.0,1.0,0.0,489,with_emb,0.0,0.0
rule,field,0.9166666666666666,1.0,0.08333333333333337,300,no_emb,0.9133333333333333,1.0,0.08666666666666667,300,with_emb,-0.0033333333333332993,0.0033333333333332993
rule,content,1.0,1.0,0.0,500,no_emb,1.0,1.0,0.0,500,with_emb,0.0,0.0
biobert,global,0.2575640031031808,0.8299306293066571,0.5723666262034763,1289,no_emb,0.43444530643910007,0.9092060628558796,0.47476075641677945,1289,with_emb,0.17688130333591928,-0.09760586978669689
biobert,entity,0.053169734151329244,0.8364738790291706,0.7833041448778413,489,no_emb,0.053169734151329244,0.8364738790291706,0.7833041448778413,489,with_emb,0.0,0.0
biobert,field,0.09666666666666666,0.8789260077476502,0.7822593410809835,300,no_emb,0.11333333333333333,0.8764362939198812,0.7631029605865479,300,with_emb,0.016666666666666663,-0.019156380494435576
biobert,content,0.554,0.794134104013443,0.24013410401344298,500,no_emb,1.0,1.0,0.0,500,with_emb,0.44599999999999995,-0.24013410401344298
magneto,global,0.3242823894491854,0.2762280288235486,0.23163866086178758,1289,no_emb,0.4840961986035687,0.6026563079286399,0.1196944139221549,1289,with_emb,0.15981380915438326,-0.11194424693963269
magneto,entity,0.13496932515337423,0.26800556863317215,0.13303624323601615,489,no_emb,0.13496932515337423,0.26800556863317215,0.13303624323601615,489,with_emb,0.0,0.0
magneto,field,0.18333333333333332,0.4868161358932654,0.3117427224417528,300,no_emb,0.19333333333333333,0.48589752619465193,0.2974379220108191,300,with_emb,0.010000000000000009,-0.014304800430933684
magneto,content,0.594,0.15791673064790665,0.43896250187791885,500,no_emb,1.0,1.0,0.0,500,with_emb,0.406,-0.43896250187791885
