source,context,tier,ground_truth,prediction,score,correct,matcher,code
case,,entity,Patient,Patient,1.0,True,rule,
project,case,entity,ResearchStudy,ResearchStudy,1.0,True,rule,
program,project,entity,ResearchStudy,ResearchStudy,1.0,True,rule,
file,,entity,DocumentReference,DocumentReference,1.0,True,rule,
project,cases,entity,ResearchStudy,ResearchStudy,1.0,True,rule,
project,,entity,ResearchStudy,ResearchStudy,1.0,True,rule,
program,project,entity,ResearchStudy,ResearchStudy,1.0,True,rule,
Assay,DocumentReference,entity,ServiceRequest,ServiceRequest,1.0,True,rule,
Device,DocumentReference,entity,Device,Device,1.0,True,rule,
Component,DocumentReference,entity,Observation,Observation,1.0,True,rule,
HTANParticipantID,Patient,entity,Patient,DocumentReference,0.5,True,rule,
Filename,DocumentReference,entity,DocumentReference,DocumentReference,1.0,True,rule,
FileFormat,DocumentReference,entity,DocumentReference,DocumentReference,1.0,True,rule,
HTANDataFileID,DocumentReference,entity,DocumentReference,DocumentReference,0.5,True,rule,
HTANParentBiospecimenID,Specimen,entity,Specimen,DocumentReference,0.5,True,rule,
Checksum,DocumentReference,entity,Observation,Observation,1.0,True,rule,
HTANBiospecimenID,Specimen,entity,Specimen,DocumentReference,0.5,True,rule,
HTANParentID,Specimen,entity,Specimen,DocumentReference,0.5,True,rule,
HTANParentDataFileID,DocumentReference,entity,DocumentReference,ServiceRequest,0.0,False,rule,
TimepointLabel,Specimen,entity,Observation,Observation,1.0,True,rule,
StartDaysfromIndex,Patient,entity,Observation,Observation,1.0,True,rule,
StopDaysfromIndex,Patient,entity,Observation,Observation,1.0,True,rule,
SentinelLymphNodeCount,Patient,entity,Observation,Observation,1.0,True,rule,
SentinelNodePositiveAssessmentCount,Patient,entity,Observation,Observation,1.0,True,rule,
TumorExtranodalExtensionIndicator,Condition,entity,Observation,Observation,1.0,True,rule,
SatelliteMetastasisPresentIndicator,Patient,entity,Observation,Observation,1.0,True,rule,
OtherBiopsyResectionSite,Patient,entity,Observation,Observation,1.0,True,rule,
ExtentofTumorResection,Patient,entity,Observation,Observation,1.0,True,rule,
PriorSitesofRadiation,Patient,entity,Observation,Observation,1.0,True,rule,
Immunosuppression,MedicationAdministration,entity,Observation,Observation,1.0,True,rule,
ConcomitantMedicationReceivedType,MedicationAdministration,entity,Observation,Observation,1.0,True,rule,
FamilyMemberVitalStatusIndicator,Patient,entity,Observation,Observation,1.0,True,rule,
COVID19OccurrenceIndicator,Patient,entity,Observation,Observation,1.0,True,rule,
COVID19CurrentStatus,Patient,entity,Observation,Observation,1.0,True,rule,
COVID19ComplicationsSeverity,Patient,entity,Observation,Observation,1.0,True,rule,
COVID19CancerTreatmentFollowup,Patient,entity,Observation,Observation,1.0,True,rule,
Ecigvapeuse,Patient,entity,Observation,Observation,1.0,True,rule,
Ecigvape30dayusenum,Patient,entity,Observation,Observation,1.0,True,rule,
Ecigvapetimesperday,Patient,entity,Observation,Observation,1.0,True,rule,
Chewingtobaccodailyusecount,Patient,entity,Observation,Observation,1.0,True,rule,
Secondhandsmokeexposureyears,Patient,entity,Observation,Observation,1.0,True,rule,
KnownGeneticPredispositionMutation,Patient,entity,Observation,Observation,1.0,True,rule,
HereditaryCancerPredispositionSyndrome,Patient,entity,Observation,Observation,1.0,True,rule,
CancerAssociatedGeneMutations,Patient,entity,Observation,Observation,1.0,True,rule,
MutationalSignatures,Patient,entity,Observation,Observation,1.0,True,rule,
MismatchRepairSystemStatus,Patient,entity,Observation,Observation,1.0,True,rule,
LabTestsforMMRStatus,Patient,entity,Observation,Observation,1.0,True,rule,
ModeofCancerDetection,Patient,entity,Observation,Observation,1.0,True,rule,
EducationLevel,Patient,entity,Observation,Observation,1.0,True,rule,
CountryofBirth,Patient,entity,Observation,Observation,1.0,True,rule,
MedicallyUnderservedArea,Patient,entity,Observation,Observation,1.0,True,rule,
RuralvsUrban,Patient,entity,Observation,Observation,1.0,True,rule,
CancerIncidence,Patient,entity,Observation,Observation,1.0,True,rule,
CancerIncidenceLocation,Patient,entity,Observation,Observation,1.0,True,rule,
Ethnicity,Patient,entity,Patient,Patient,1.0,True,rule,
Gender,Patient,entity,Patient,Patient,1.0,True,rule,
Race,Patient,entity,Patient,Patient,1.0,True,rule,
VitalStatus,Patient,entity,Patient,Patient,1.0,True,rule,
AgeatDiagnosis,Patient,entity,Condition,Condition,1.0,True,rule,
DaystoLastFollowup,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoLastKnownDiseaseStatus,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoRecurrence,Patient,entity,Observation,Observation,1.0,True,rule,
LastKnownDiseaseStatus,Patient,entity,Observation,Observation,1.0,True,rule,
Morphology,Patient,entity,Observation,Observation,1.0,True,rule,
PrimaryDiagnosis,Patient,entity,Condition,Condition,1.0,True,rule,
ProgressionorRecurrence,Patient,entity,Condition,Condition,1.0,True,rule,
SiteofResectionorBiopsy,Specimen,entity,Specimen,Specimen,1.0,True,rule,
TissueorOrganofOrigin,Patient,entity,Condition,Condition,1.0,True,rule,
NCIAtlasCancerSite,,entity,Condition,Condition,1.0,True,rule,
TumorGrade,Patient,entity,Condition,Condition,1.0,True,rule,
PackYearsSmoked,Patient,entity,Observation,Observation,1.0,True,rule,
YearsSmoked,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoFollowUp,Patient,entity,Observation,Observation,1.0,True,rule,
GeneSymbol,Patient,entity,Observation,Observation,1.0,True,rule,
MolecularAnalysisMethod,Patient,entity,Observation,Observation,1.0,True,rule,
TestResult,Patient,entity,Observation,Observation,1.0,True,rule,
TreatmentType,MedicationAdministration,entity,MedicationAdministration,MedicationAdministration,1.0,True,rule,
TumorLargestDimensionDiameter,,entity,Observation,Observation,1.0,True,rule,
LungCancerTier3,,entity,Specimen,ServiceRequest,0.0,False,rule,
LungCancerDetectionMethodType,Patient,entity,Condition,Condition,1.0,True,rule,
BreastCancerTier3,Patient,entity,Patient,ServiceRequest,0.0,False,rule,
