matcher,tier,accuracy,mean_conf,ece,n
rule,global,0.7302405498281787,1.0,0.26975945017182135,1746
rule,entity,0.5211416490486258,1.0,0.4788583509513742,946
rule,field,0.9466666666666667,1.0,0.053333333333333344,300
rule,content,0.996,1.0,0.0040000000000000036,500
biobert,global,0.23195876288659795,0.8902512500649329,0.6582924871783349,1746
biobert,entity,0.012684989429175475,0.8663246447641804,0.8536396553350049,946
biobert,field,0.14666666666666667,0.8825358068943023,0.7358691402276356,300
biobert,content,0.698,0.9401496531963348,0.24214965319633486,500
magneto,global,0.26689576174112256,0.4752855146045606,0.20888552818562567,1746
magneto,entity,0.03805496828752643,0.3256695977004588,0.2876146291609042,946
magneto,field,0.26666666666666666,0.5089393152793249,0.24515806178251906,300
magneto,content,0.7,0.7381665489822626,0.04772389711439609,500
